condition,control_type,dose,seed,enable_meta_monitor,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay,proxy_self_model,proxy_boundary_self,proxy_legacy_self_model,generic_architecture_probe,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,hard_self_with_lesion,detail_hidden_discovery_rate,detail_hidden_response_effectiveness,detail_schema_final_accuracy,detail_schema_update_speed,detail_lesion_drop
strength_0.0,strength,0.0,20260521,True,0.0,0.0,0,0.588505859375,0.588505859375,0.0,0.36495253348087303,0.0,0.13904178450067953,0.3296096378191306,0.16799810599385087,0.20840098895017078,0.0,0.0,0.20447321250099929,0.0,0.0
strength_0.0,strength,0.0,20260522,True,0.0,0.0,0,0.582646484375,0.582646484375,0.0,0.3671177854406162,0.0,0.1419838076604251,0.33212969364069067,0.16970053103368044,0.210307821685433,0.0,0.0,0.20879971714768397,0.0,0.000667521917198044
strength_0.0,strength,0.0,20260523,True,0.0,0.0,0,0.589384765625,0.589384765625,0.0,0.3559240003064225,0.0,0.09404527923021364,0.31694143505630645,0.14998975984554538,0.19172767864823564,0.0,0.0,0.1383018812209024,0.0,0.0
strength_0.0,strength,0.0,20260524,True,0.0,0.0,0,0.58630859375,0.58630859375,0.0,0.3433415882522778,0.0,0.0749731299681444,0.29664658610805084,0.1394382394068074,0.17874032608211826,0.0,0.0,0.11025460289433,0.0,0.0
strength_0.2,strength,0.2,20261521,True,0.2,0.0,0,0.6699217462692231,0.6699217462692231,0.177755620858691,0.4906639840287916,0.0,0.24942427348291252,0.46232798836340544,0.24669608583723468,0.3006040614687774,0.0,0.0,0.36680040218075366,0.0,0.2007464202964898
strength_0.2,strength,0.2,20261522,True,0.2,0.0,0,0.6883748267644131,0.6883748267644131,0.19539845180661866,0.4657328668906983,0.0,0.2238518391615742,0.4449131023988807,0.22986156868409083,0.2836244521127883,0.0,0.0,0.32919388111996206,0.0,0.18493628575177407
strength_0.2,strength,0.2,20261523,True,0.2,0.0,0,0.6828862576544602,0.6828862576544602,0.19026388190158683,0.4779215780304031,0.0,0.24183107228091189,0.4587647231274838,0.23991755010377167,0.2946293433596997,0.0,0.0,0.35563392982487035,0.0,0.20371204513003044
strength_0.2,strength,0.2,20261524,True,0.2,0.0,0,0.6743792533836824,0.6743792533836824,0.18920572988699527,0.4781648787054689,0.0,0.2382879883155191,0.45989135553112914,0.23881762234032933,0.29408605563802925,0.0,0.0,0.3504235122287045,0.0,0.20123422062379548
strength_0.4,strength,0.4,20262521,True,0.4,0.0,0,0.735052308883593,0.735052308883593,0.3585825029192622,0.5978368374062608,0.0,0.3361805833346671,0.5343644982718208,0.311339140246976,0.3670954797531872,0.0,0.0,0.4943832107862752,0.0,0.2425786265431712
strength_0.4,strength,0.4,20262522,True,0.4,0.0,0,0.7190515847076164,0.7190515847076164,0.37709271328913574,0.5892783283972753,0.0,0.32829485550866083,0.5257515160159572,0.3058577279686454,0.36083117498047335,0.0,0.0,0.4827865522186188,0.0,0.22900145925847915
