condition_set,architecture,condition,proxy_self_model_mean,proxy_self_model_std,proxy_agency_mean,proxy_agency_std,independent_self_model_mean,independent_self_model_std,independent_agency_mean,independent_agency_std,test_boundary_perturbation_mean,test_boundary_perturbation_std,test_computational_mirror_mean,test_computational_mirror_std,test_ownership_attribution_mean,test_ownership_attribution_std,test_intentional_binding_mean,test_intentional_binding_std,test_error_attribution_mean,test_error_attribution_std,test_controllability_preference_mean,test_controllability_preference_std,test_forced_action_probe_mean,test_forced_action_probe_std,test_architecture_self_probe_mean,test_architecture_self_probe_std,proxy_boundary_self_mean,proxy_boundary_self_std,independent_self_core_boundary_mean,independent_self_core_boundary_std,proxy_identity_marker_persistence_mean,proxy_identity_marker_persistence_std,test_delayed_identity_recognition_mean,test_delayed_identity_recognition_std,proxy_action_attribution_mean,proxy_action_attribution_std,test_forced_choice_ownership_mean,test_forced_choice_ownership_std,proxy_distributed_body_schema_self_mean,proxy_distributed_body_schema_self_std,hard_hidden_agent_perturbation_mean,hard_hidden_agent_perturbation_std,hard_body_schema_update_mean,hard_body_schema_update_std,hard_meta_monitor_lesion_mean,hard_meta_monitor_lesion_std,hard_self_without_lesion_mean,hard_self_without_lesion_std,run_index_mean,run_index_std,meta_monitor_strength_mean,meta_monitor_strength_std,meta_monitor_noise_mean,meta_monitor_noise_std,meta_monitor_delay_mean,meta_monitor_delay_std
distributed,distributed,feedback_off,0.9381478822393737,0.009061928970240501,0.0,0.0,0.720066775632513,0.01403003679281177,0.20876310379119295,0.02224384139320263,0.47942878900294184,0.029239611576859992,1.0,0.0,0.40625,0.05087202534756172,0.23349626478355767,0.05836477549438478,0.027028304451673802,0.008656583722311473,0.21112940837894534,0.044329594696992665,0.363398437550595,0.01632828696566428,0.9945883135271101,0.0005271766575492464,0.9381478822393737,0.009061928970240501,0.7456223783545689,0.014170714951798074,0.9813244898376193,0.023983550762020415,0.85,0.0,0.0,0.0,0.0,0.0,0.9381478822393737,0.009061928970240501,0.9958208868175681,0.0013017913868442548,1.0,0.0,0.8387656177220437,0.004910025783558447,0.9979104434087841,0.0006508956934221036,71.5,4.760952285695233,1.0,0.0,0.0,0.0,0.0,0.0
distributed,distributed,feedback_on,0.9337098936085829,0.009050105384495145,0.33590512856109134,0.04501422657887508,0.7285499104392599,0.018492512657266705,0.31629220588988105,0.02035074821612682,0.4919754124342141,0.017073402015445088,1.0,0.0,0.4276041666666667,0.06829394189823866,0.21127045202834432,0.046202104222904994,0.02615994547792646,0.007806145311853064,0.19303790516933314,0.048663084568029015,0.8347005208839203,0.03656575195689761,0.9946200626561587,0.0007234447314966685,0.9337098936085829,0.009050105384495145,0.7424201292679891,0.0061927245988764755,0.6596893231658624,0.028544508111009757,0.5,0.0,0.8260091146408364,0.029031475331836972,0.9984868689498672,9.220205639233081e-05,0.9337098936085829,0.009050105384495145,0.9959319970014272,0.0011063550413940868,1.0,0.0,0.8377504016229749,0.0035918897934771074,0.9979659985007137,0.0005531775206970662,87.5,4.760952285695233,1.0,0.0,0.0,0.0,0.0,0.0
meta-delay,distributed,meta_delay_0,0.9360433259297236,0.011849381242582325,0.33127392922554516,0.05436379113677376,0.7278473697617236,0.016487636430262232,0.3155685932199072,0.015039937742381592,0.4839021014563916,0.03723261467248975,1.0,0.0,0.43333333333333335,0.04205375748394569,0.1975757144161292,0.04547616035718723,0.02496471234388824,0.009791110586266784,0.2069214460637547,0.04403496745449963,0.8328125000558567,0.04090846614881978,0.9941540442571696,0.0008402379175106926,0.9360433259297236,0.011849381242582325,0.7428944768632948,0.013523707395938602,0.65964131922716,0.024379584531702112,0.5,0.0,0.8274739583902838,0.04397285336127214,0.9985173245568212,7.55916599426363e-05,0.9360433259297236,0.011849381242582325,0.9963164123461623,0.0009669139192804828,1.0,0.0,0.8390645798869785,0.002555797144397113,0.9981582061730812,0.0004834569596402065,263.5,4.760952285695233,1.0,0.0,0.0,0.0,0.0,0.0
meta-delay,distributed,meta_delay_2,0.9337169477875719,0.012367348374652172,0.35756296477807803,0.05504185618780447,0.7259432693113674,0.018861005688501943,0.3199951200302333,0.021590303304419526,0.4866044380319453,0.029584230335183703,1.0,0.0,0.4322916666666667,0.07141914620355276,0.2189225818722299,0.05984672146597167,0.024796816816965297,0.0101387984605044,0.20328582096019515,0.050301952528148716,0.8329752604715428,0.02893804165613092,0.9848769725468578,0.0008774908007014322,0.9337169477875719,0.012367348374652172,0.738230998028439,0.008726320859446583,0.662203654002046,0.023761720240318647,0.5,0.0,0.8468424479652343,0.03970534408090928,0.9985185691678634,0.00015042254721343536,0.9337169477875719,0.012367348374652172,0.9933849867747905,0.0007590979006487461,0.984344798139432,0.001475683705012902,0.8296213449314568,0.0037704833194618565,0.9888648924571113,0.0010178090873850592,279.5,4.760952285695233,1.0,0.0,0.0,0.0,2.0,0.0
meta-delay,distributed,meta_delay_4,0.9281518678336357,0.012357068059278518,0.377040772656998,0.05465798204377989,0.7203305089672113,0.011810739431540186,0.31828833127781625,0.0252524465007371,0.48685226191779946,0.026657033513136724,1.0,0.0,0.4192708333333333,0.05890346386720865,0.21677839403924876,0.03506290462379962,0.023493344396169954,0.007003836306541678,0.1981485137054109,0.05032923861269501,0.8347330729704354,0.043037232340694107,0.9751989406177122,0.0007686099676400252,0.9281518678336357,0.012357068059278518,0.732908440870236,0.006634145437991791,0.6561813511606494,0.031218199080462118,0.5,0.0,0.8298177083909771,0.043293125357516754,0.9985008440506098,9.122842025566455e-05,0.9281518678336357,0.012357068059278518,0.9912172777464614,0.0010260252893062177,0.9842869999309486,0.001461578053697968,0.819610959885709,0.0029274424453731764,0.987752138838705,0.0010260788658282398,295.5,4.760952285695233,1.0,0.0,0.0,0.0,4.0,0.0
meta-delay,distributed,meta_delay_8,0.9286303218762394,0.017405796541433496,0.39075657753395554,0.054699544527828985,0.7326569355395414,0.015851647157731935,0.31527183362476485,0.016594165349704194,0.4827584136014853,0.019857901406305892,1.0,0.0,0.4546875,0.06001301942078901,0.20799627503329665,0.03562256845674071,0.02152513414806178,0.007543139056440839,0.18931332110049998,0.0587686663998888,0.842252604217201,0.035397193876510503,0.9931818285566804,0.0009835297550972494,0.9286303218762394,0.017405796541433496,0.7364277714921775,0.013250936863462117,0.6611407576993195,0.024123101143784034,0.5,0.0,0.8361979167192948,0.02720591914535752,0.9984535369442463,0.00010512708426580531,0.9286303218762394,0.017405796541433496,0.7762531946499998,0.38568751538503576,0.983328493577826,0.0015087015578103477,0.8374213637585212,0.005156319008465372,0.8797908441139128,0.19311928343286,311.5,4.760952285695233,1.0,0.0,0.0,0.0,8.0,0.0
meta-noise,distributed,meta_noise_0.0,0.9293143077231373,0.017506394295999143,0.34166361989503363,0.039167759672779565,0.7217493922968371,0.01947498570576235,0.3128228491886097,0.022716465304981993,0.48455349202654635,0.0340292639211303,1.0,0.0,0.40729166666666666,0.0792251246156822,0.209865361255476,0.04708484572612327,0.022881693351344542,0.005425033058470774,0.18732689417627665,0.041356010151909595,0.8312174479713414,0.03990343374288031,0.9951524104941354,0.0009663239401678209,0.9293143077231373,0.017506394295999143,0.739735727416323,0.014489075558589179,0.6635461999147968,0.018199145993624773,0.5,0.0,0.862988281291019,0.03313278904917059,0.9985055724545853,0.00010036800000602198,0.9293143077231373,0.017506394295999143,0.9962561944958355,0.0011435274022572627,1.0,0.0,0.8381725851215038,0.003137394327097509,0.9981280972479177,0.0005717637011286152,199.5,4.760952285695233,1.0,0.0,0.0,0.0,0.0,0.0
meta-noise,distributed,meta_noise_0.2,0.9339440746298424,0.015393525995396574,0.3430583279700956,0.06555389154343792,0.6877875762623162,0.021854778548857912,0.3115299263375263,0.022694025184349133,0.48314079070130816,0.02385167952443831,1.0,0.0,0.41770833333333335,0.08067280738794115,0.206824893568161,0.041776989811196714,0.02381304773829164,0.00653070614222105,0.18354817023995015,0.05733587804661343,0.8319335938037024,0.03293309997810355,0.8503011810146236,0.008079098031932352,0.9339440746298424,0.015393525995396574,0.6707061366327436,0.009042265752202893,0.6584570655297922,0.028241678401920003,0.5,0.0,0.8331380208880825,0.039478513884945665,0.9985084499620748,0.00012149981274275862,0.9339440746298424,0.015393525995396574,0.9889013158973589,0.00491915604774768,0.9848499853116014,0.007951849836817789,0.7146221555425597,0.013122359024339563,0.9868756506044801,0.005495958534063564,215.5,4.760952285695233,1.0,0.0,0.2,0.0,0.0,0.0
meta-noise,distributed,meta_noise_0.4,0.937924394355192,0.013568017703626442,0.3699447022954546,0.0591968060867447,0.6640632904039369,0.013740048633556018,0.3289847253114123,0.02033966406765744,0.48046522606737924,0.01576576777970739,1.0,0.0,0.38958333333333334,0.04649771001927984,0.2531014612574929,0.0457814557002026,0.027787032344243755,0.007267924097612541,0.19585769925893753,0.05841122166983807,0.8391927083849753,0.03881122886343963,0.786204602215035,0.005802617031260438,0.937924394355192,0.013568017703626442,0.636442043550388,0.01544123545897771,0.6546167794932289,0.028142363896669076,0.5,0.0,0.8277343750576163,0.03384615288301281,0.9985731929309152,8.573328503713912e-05,0.937924394355192,0.013568017703626442,0.9756814239599862,0.009969694745369193,0.9745217095819131,0.007823802026483802,0.6606058337179156,0.011522989118126324,0.9751015667709496,0.006534655738891634,231.5,4.760952285695233,1.0,0.0,0.4,0.0,0.0,0.0
meta-noise,distributed,meta_noise_0.6,0.9327916760725903,0.009757849592534349,0.3179581991862159,0.03864404590797927,0.6721873289343425,0.022569025727792607,0.3232026657789123,0.022209167426957357,0.4847491757484953,0.020558561250470515,1.0,0.0,0.44479166666666664,0.08497684869901223,0.20742572529856657,0.03457449474156587,0.026042636470024784,0.00904860532116726,0.22932928045892276,0.06029093094208833,0.8300130208881351,0.03242070709633246,0.7592084733222082,0.006946146056225088,0.9327916760725903,0.009757849592534349,0.6212916304036382,0.013191464384304576,0.6632654460803377,0.015298211517990025,0.5,0.0,0.8273763021395161,0.04405563246879508,0.9984381904125967,9.916641051773961e-05,0.9327916760725903,0.009757849592534349,0.9436240293475815,0.021572337659577355,0.9699588444645826,0.009121396609451148,0.6441340766850246,0.007377067302389234,0.956791436906082,0.011183684418375507,247.5,4.760952285695233,1.0,0.0,0.6,0.0,0.0,0.0
