study,condition,dose,seed,proxy_attention_focus_self,independent_attention_focus_self,attention_focus_preference,attention_focus_pattern_stability,attention_focus_entropy_resistance,attention_focus_recovery,attention_focus_leak_reduction,proxy_context_window_self,independent_context_window_self,context_retention,context_inclusion,context_contamination_resistance,context_reentry_discrimination,context_reentry_own,effect_noise_scale,proxy_agency,independent_agency,proxy_boundary_self,independent_boundary_self,high_agency_low_boundary
attention_focus_self,salience_0.00,0.0,20260522,0.500850101486186,0.9536555393191366,0.4648839247695084,0.9707694283118137,0.0016860273854529817,0.9782298279840576,0.9167941063217553,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260523,0.5157271617819553,0.9451598400759136,0.5051926611429132,0.9601325465181301,0.001402801248821639,0.9623897491872433,0.919314976408919,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260524,0.5066375493591629,0.937725733677397,0.49107466816364187,0.9507994208640062,0.001656489705288977,0.951150131597257,0.917589136797607,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260525,0.48962526461099287,0.9193824405249355,0.4761062655079368,0.9164576102809769,0.0017606481925129813,0.9215166134417041,0.9161811811497824,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260526,0.47892408138919207,0.9495768945827446,0.42359754663203203,0.9591286380624071,0.0022663759442220766,0.9738911819415472,0.9131054635445407,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260527,0.5109939122852829,0.9544350237488334,0.48424643718211857,0.9765764789551413,0.0004402874671487478,0.9804518839502028,0.9154097334467792,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260528,0.5293180351880702,0.9479712970462151,0.5339624933529185,0.9620919257198872,0.0016293418531632131,0.96738975750988,0.9188436063507178,,,,,,,,,,,,,
attention_focus_self,salience_0.00,0.0,20260529,0.5132937311773609,0.9513907860850015,0.49568131690126654,0.9665281986513736,0.0011147159055155953,0.976067825845891,0.9143752264436673,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260872,0.46036767953485624,0.9491354855198092,0.4042417936918306,0.9253491061111493,0.0034165621607509244,0.9701388489218753,0.91763044041671,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260873,0.5113519911825103,0.9407722284288396,0.49843182849571266,0.9554434838534059,0.001698492813671404,0.9583615929270204,0.9143881816815683,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260874,0.46681684097440057,0.949952223084971,0.40192085751777995,0.9486586016447304,0.005419498391921795,0.9760141622945147,0.9108593142706556,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260875,0.4232716171621511,0.9462779333806515,0.2984230693648478,0.9555933464700135,0.009212928027862222,0.9703383775662323,0.9101872671022804,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260876,0.5278206280909662,0.9517156352570391,0.5379098210008101,0.9509909686076354,0.00185567223324401,0.9740914424234756,0.9181519245073844,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260877,0.4850463050894992,0.9538039898987101,0.45014951596893515,0.9389170563754411,0.003215623963384373,0.978655697462963,0.9165264285523309,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260878,0.4930586364139124,0.9521164945054471,0.4600246041458554,0.9520331905817013,0.0017504294950685395,0.9768072280284039,0.915080394221012,,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260879,0.5338029736074377,0.9538400868295001,0.5411077245770325,0.9667461402322787,0.0011226219123576797,0.9779185194294184,0.9177224379296224,,,,,,,,,,,,,
attention_focus_self,salience_0.70,0.7,20261222,0.4385059617541177,0.9465191515018716,0.3901924991155729,0.8645882565696467,0.014171440724863649,0.9635048954736516,0.9210405355442017,,,,,,,,,,,,,
attention_focus_self,salience_0.70,0.7,20261223,0.5187453469094557,0.9344557772340691,0.5219338010666632,0.9447293152292444,0.001825367442735537,0.9476450932571878,0.914671803199391,,,,,,,,,,,,,
